"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","55"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1493-13a3-e055-000000000001","Mayo  County Council","Number","238"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","134"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","103"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","107"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","256"
"FY006AC01","Population","2022","2022","2","Female","087","87 years","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","93"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","IE0","Ireland","Number","5927"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","68"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","886"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","412"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","219"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","241"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","164"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","126"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","85"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","49"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","143"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","171"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","106"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","98"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","170"
